,state,handgun,long_gun,multiple,month
381,Washington,6127.000000000001,7419.500000000001,546,6
382,West Virginia,2629.0,3685.0000000000005,332,6
383,Wisconsin,3041.5000000000005,6688.000000000001,4,6
384,Wyoming,947.1,1644.5000000000002,100,6
385,Alabama,6306.3,5641.900000000001,524,5
386,Alaska,1481.7,2139.5,168,5
387,Arizona,6229.3,5220.6,458,5
388,Arkansas,2857.8,3997.4000000000005,334,5
389,California,16461.5,17737.5,504,5
390,Colorado,6612.1,8190.6,770,5
391,Connecticut,2030.6000000000001,1822.7,82,5
392,Delaware,553.3000000000001,661.1,40,5
393,District of Columbia,1.1,0.0,0,5
394,Florida,18504.2,11980.1,1190,5
395,Georgia,9527.1,8160.900000000001,770,5
396,Guam,12.100000000000001,11.0,8,5
397,Hawaii,0.0,0.0,0,5
398,Idaho,1491.6000000000001,3259.3,192,5
399,Illinois,5084.200000000001,6099.500000000001,462,5
400,Indiana,5265.700000000001,5885.000000000001,406,5
401,Iowa,20.900000000000002,1945.9,0,5
402,Kansas,2607.0,3375.9,268,5
403,Kentucky,5846.500000000001,6526.3,788,5
404,Louisiana,6189.700000000001,4852.1,406,5
405,Maine,1067.0,2011.9,194,5
406,Mariana Islands,0.0,1.1,0,5
407,Maryland,699.6,2883.1000000000004,10,5
408,Massachusetts,1747.9,1067.0,126,5
409,Michigan,2423.3,9248.800000000001,118,5
410,Minnesota,3265.9,6689.1,200,5
411,Mississippi,3798.3,4034.8,306,5
412,Missouri,4106.3,8361.1,292,5
413,Montana,1480.6000000000001,3791.7000000000003,274,5
414,Nebraska,1.1,1445.4,4,5
415,Nevada,2301.2000000000003,2142.8,218,5
416,New Hampshire,1204.5,1868.9,10,5
417,New Jersey,1662.1000000000001,1420.1000000000001,126,5
418,New Mexico,2450.8,2861.1000000000004,234,5
419,New York,2921.6000000000004,8071.800000000001,66,5
420,North Carolina,223.3,7522.900000000001,178,5
421,North Dakota,438.90000000000003,1578.5000000000002,36,5
422,Ohio,9730.6,11939.400000000001,906,5
423,Oklahoma,4810.3,5449.400000000001,608,5
424,Oregon,4474.8,7693.400000000001,540,5
425,Pennsylvania,0.0,37614.5,182,5
426,Puerto Rico,590.7,114.4,36,5
427,Rhode Island,415.8,345.40000000000003,182,5
428,South Carolina,3279.1000000000004,2957.9,222,5
429,South Dakota,679.8000000000001,1982.2000000000003,76,5
430,Tennessee,7659.3,6394.3,740,5
431,Texas,16412.0,20892.300000000003,1764,5
432,Utah,1867.8000000000002,3777.4,190,5
433,Vermont,533.5,834.9000000000001,34,5
434,Virgin Islands,34.1,1.1,0,5
435,Virginia,8591.0,7508.6,404,5
436,Washington,6066.500000000001,7406.3,498,5
437,West Virginia,2601.5,3852.2000000000003,356,5
438,Wisconsin,3408.9,7797.900000000001,2,5
439,Wyoming,882.2,1722.6000000000001,94,5
440,Alabama,6332.700000000001,6074.200000000001,492,4
441,Alaska,1615.9,2392.5,184,4
442,Arizona,7640.6,6328.3,508,4
443,Arkansas,2967.8,4921.400000000001,388,4
444,California,23036.2,23482.800000000003,1180,4
445,Colorado,6979.500000000001,9169.6,780,4
446,Connecticut,2266.0,2284.7000000000003,106,4
447,Delaware,515.9000000000001,654.5,54,4
448,District of Columbia,5.5,0.0,0,4
449,Florida,18594.4,13009.7,1260,4
450,Georgia,9535.900000000001,9175.1,778,4
451,Guam,12.100000000000001,6.6000000000000005,4,4
452,Hawaii,0.0,0.0,0,4
453,Idaho,1505.9,3810.4,192,4
454,Illinois,4822.400000000001,6780.400000000001,554,4
455,Indiana,5513.200000000001,7484.400000000001,504,4
456,Iowa,16.5,3188.9,0,4
457,Kansas,2681.8,4183.3,344,4
458,Kentucky,5744.200000000001,8728.5,686,4
459,Louisiana,6507.6,5100.700000000001,368,4
460,Maine,1270.5,2609.2000000000003,148,4
461,Mariana Islands,0.0,0.0,0,4
462,Maryland,671.0,3568.4,8,4
463,Massachusetts,2140.6000000000004,1505.9,114,4
464,Michigan,2786.3,11779.900000000001,128,4
465,Minnesota,4103.0,11018.7,254,4
466,Mississippi,4065.6000000000004,4458.3,320,4
467,Missouri,4565.0,11034.1,292,4
468,Montana,1665.4,4219.6,290,4
469,Nebraska,0.0,1821.6000000000001,0,4
470,Nevada,2521.2000000000003,2542.1000000000004,274,4
471,New Hampshire,1529.0000000000002,2464.0,38,4
472,New Jersey,1614.8000000000002,1633.5000000000002,98,4
473,New Mexico,2656.5,3581.6000000000004,234,4
474,New York,1084.6000000000001,9476.5,62,4
475,North Carolina,190.3,8647.1,168,4
476,North Dakota,555.5,1912.9,58,4
477,Ohio,10626.0,13961.2,1100,4
478,Oklahoma,5412.0,6965.200000000001,716,4
479,Oregon,5275.6,9849.400000000001,514,4
480,Pennsylvania,0.0,42328.0,960,4
481,Puerto Rico,532.4000000000001,128.70000000000002,18,4
482,Rhode Island,383.90000000000003,371.8,158,4
483,South Carolina,3518.9,3561.8,238,4
484,South Dakota,863.5000000000001,2669.7000000000003,110,4
485,Tennessee,7539.400000000001,7493.200000000001,694,4
486,Texas,17106.100000000002,22442.2,1786,4
487,Utah,2176.9,4242.700000000001,182,4
488,Vermont,675.4000000000001,1240.8000000000002,48,4
489,Virgin Islands,18.700000000000003,0.0,2,4
490,Virginia,13362.800000000001,9673.400000000001,522,4
491,Washington,6351.400000000001,8177.400000000001,530,4
492,West Virginia,2758.8,5080.900000000001,302,4
493,Wisconsin,3792.8,12752.300000000001,4,4
494,Wyoming,908.6,2070.2000000000003,112,4
495,Alabama,8421.6,9365.400000000001,566,3
496,Alaska,1672.0000000000002,2174.7000000000003,174,3
497,Arizona,7762.700000000001,6795.8,846,3
498,Arkansas,3912.7000000000003,6802.400000000001,406,3
499,California,25514.500000000004,28948.7,118,3
500,Colorado,8584.400000000001,11385.000000000002,954,3
501,Connecticut,2984.3,3011.8,204,3
502,Delaware,656.7,872.3000000000001,44,3
503,District of Columbia,7.700000000000001,0.0,0,3
504,Florida,21008.9,16251.400000000001,1322,3
505,Georgia,12901.900000000001,13569.6,1184,3
506,Guam,15.400000000000002,11.0,2,3
507,Hawaii,0.0,0.0,0,3
508,Idaho,1714.9,4100.8,250,3
509,Illinois,6902.500000000001,10036.400000000001,734,3
510,Indiana,8142.200000000001,10571.0,550,3
511,Iowa,37.400000000000006,4624.400000000001,4,3
512,Kansas,3813.7000000000003,5705.700000000001,406,3
513,Kentucky,8098.200000000001,10816.300000000001,896,3
514,Louisiana,8505.2,7362.3,530,3
515,Maine,1662.1000000000001,3076.7000000000003,288,3
516,Mariana Islands,0.0,4.4,0,3
517,Maryland,811.8000000000001,4346.1,24,3
518,Massachusetts,2570.7000000000003,1749.0000000000002,156,3
519,Michigan,3901.7000000000003,15503.400000000001,154,3
520,Minnesota,5023.700000000001,12414.6,298,3
521,Mississippi,5275.6,6752.900000000001,362,3
522,Missouri,6114.900000000001,13699.400000000001,382,3
523,Montana,1777.6000000000001,4510.0,332,3
524,Nebraska,1.1,2242.9,2,3
525,Nevada,3356.1000000000004,3073.4,384,3
526,New Hampshire,1802.9,2585.0,26,3
527,New Jersey,1874.4,2042.7000000000003,124,3
528,New Mexico,3322.0000000000005,4187.700000000001,316,3
529,New York,1467.4,9709.7,36,3
530,North Carolina,297.0,11915.2,190,3
531,North Dakota,650.1,2252.8,38,3
532,Ohio,14160.300000000001,18287.5,1310,3
533,Oklahoma,5883.900000000001,8191.700000000001,774,3
534,Oregon,6229.3,10573.2,670,3
535,Pennsylvania,1.1,55159.50000000001,234,3
536,Puerto Rico,683.1,135.3,28,3
537,Rhode Island,530.2,482.90000000000003,186,3
538,South Carolina,4822.400000000001,5302.0,268,3
539,South Dakota,1080.2,3198.8,98,3
540,Tennessee,9806.5,11137.5,818,3
541,Texas,20725.100000000002,27181.000000000004,2162,3
542,Utah,2313.3,5138.1,232,3
543,Vermont,805.2,1468.5000000000002,48,3
544,Virgin Islands,27.500000000000004,2.2,0,3
545,Virginia,10564.400000000001,11352.000000000002,596,3
546,Washington,7334.8,9128.900000000001,598,3
547,West Virginia,3818.1000000000004,6486.700000000001,458,3
548,Wisconsin,4798.200000000001,16615.5,2,3
549,Wyoming,980.1,2121.9,104,3
550,Alabama,9368.7,10249.800000000001,680,2
551,Alaska,1346.4,1842.5000000000002,172,2
552,Arizona,8255.5,7238.000000000001,582,2
553,Arkansas,4451.700000000001,7518.500000000001,612,2
554,California,21426.9,25704.800000000003,530,2
555,Colorado,7381.000000000001,10254.2,974,2
556,Connecticut,2566.3,2422.2000000000003,176,2
557,Delaware,599.5,841.5000000000001,38,2
558,District of Columbia,16.5,212.3,2,2
559,Florida,20768.0,15918.100000000002,1290,2
560,Georgia,13678.500000000002,14129.500000000002,1258,2
561,Guam,11.0,19.8,2,2
562,Hawaii,0.0,0.0,0,2
563,Idaho,1633.5000000000002,3749.9,272,2
564,Illinois,6679.200000000001,8962.800000000001,592,2
565,Indiana,7932.1,9835.1,434,2
566,Iowa,27.500000000000004,3743.3,6,2
567,Kansas,3148.2000000000003,5243.700000000001,440,2
568,Kentucky,8816.5,11698.500000000002,1256,2
569,Louisiana,8804.400000000001,7882.6,524,2
570,Maine,1414.6000000000001,2588.3,166,2
